"Settings","Nastavení"
"<strong>Note:</strong> Don't forget to set-up in the <a href="https://my.ferbuy.com/merchant" target="_blank">Merchant Backoffice</a> a Control URL to "http://www.yourdomain.com/ferbuy/payment/control/".","<strong>Note:</strong> Nezapomeňte si nastavit v <a href="https://my.ferbuy.com/merchant" target="_blank">Back officu</a> Verifikační adresu na "http://www.yourdomain.com/ferbuy/payment/control/"."
"Test/Live Mode","Testovací/Produkční mód"
"Switching between test and live mode. If you don't have an account <a href='http://www.ferbuy.com/' target='_blank'>Sign Up</a>.","Přepíná nastavení mezi testovacím a produkčním módem. Pokud nemáte aktivní účet založte si ho na <a href='http://www.ferbuy.com/' target='_blank'>zde</a>."
"Site ID","ID Stránky"
"Fill in you Site ID number. You can find your Site ID number at <a href="https://my.ferbuy.com/merchant" target="_blank">Merchant Backoffice</a>.","Vyplňte vaše ID Stránky. ID Stránky naleztene v našem <a href="https://my.ferbuy.com/merchant" target="_blank">Back officu</a>."
"Secret","Tajný klíč"
"Fill in you secret key for the site. You can create your secret key code at <a href="https://my.ferbuy.com/merchant" target="_blank">Merchant Backoffice</a>","Vyplňte váš tajný klíč. Tajný klíč si můžete vytvořit v našem <a href="https://my.ferbuy.com/merchant" target="_blank">Back officu</a>"
"Create invoice after payment","Vytvořit fakturu po zaplacení"
"Automatically create invoices after payment.","Automaticky vytvořit fakturu po zaplacení."
"Mail invoice to customer","Odeslat fakturu emailem zákazníkovi"
"Automatically mail invoices to a customer.","Automaticky odeslat fakturu emailem zákazníkovi."
"Notify on failed invoice creation","Upozornit pokud se nepodařilo vytvořit fakturu"
"Notifications recipient","Notifikační příjemci"
"Transaction in progress status","Transakce čekající k vyřízení"
"Transaction complete status","Transaction dokončena"
"Transaction failed status","Transaction selhala"
"Debug","Debug"
"Will log details for debugging purposes in /var/log/ferbuy.log file.","Veškeré debug informace se budou ukládat do /var/log/ferbuy.log souboru."
"FerBuy (Buy Now, Pay Later)","FerBuy (Nákup teď, Zaplať později)"
"Enabled","Povolit"
"Title","Nadpis"
"Minimum Order Total","Minimální součet objednávky"
"Checkout option will not be available with an order that does not meet the minimum.","Možnost placení nebude aktivní pokud objednávka nebude splňovat minimální požadovanou částku."
"Maximum Order Total","Maimální součet objednávky"
"Checkout option will not be available with an order that does exceeds the maximum.","Možnost placení nebude aktivní pokud objednávka překročí maximální požadovanou částku."
"Payment from applicable countries","Platby z příslušných zemí"
"Payment from Specific countries","Platby ze specifikých zemí"
"Sort order","Pořadí"
"Invoice # %s created and send to customer.","Faktura # %s vytvořena a odeslána zákazníkovi."
"Invoice # %s created.","Faktura # %s vytvořena."
"Automatic invoice creation failed","Automatické vytvoření faktury selhalo"
"Magento was unable to create an invoice for Order # %s after a successful payment via FerBuy (transaction # %s)","Magento nemohlo vygenerovat fakturu pro objednávku # %s poté co platba proběhla úspěšně přes FerBuy (transakce # %s)"
"Magento was unable to create an invoice for <b>Order # %s</b> after a successful payment via FerBuy <b>(transaction # %s)</b>","Magento nemohlo vygenerovat fakturu pro <b>objednávku # %s</b> poté co platba proběhla úspěšně přes FerBuy <b>(transakce # %s)</b>"
"Hacker attempt: Order total amount does not match FerBuy's gross total amount!","Hackerský útok: Celková částka objednávky se neshoduje s celkovou částkou u FerBuy!"
"Transaction complete.","Transakce dokončena."
"Transaction failed.","Transakce selhala."
"Transaction timed out.","Transakce nebyla dokončena."
"Transaction canceled by user.","Transakce stornována uživatelem."
"Transaction started, waiting for payment.","Transakce aktivní, čekající na zaplacení."
"You will be redirected to FerBuy to finish your transaction.","Budete přesměrování na platební bránu FerBuy k dokončení platby."
"You will be redirected to the FerBuy website when you place an order.","Budete přesměrováni na webové stránky FerBuy při zadání objednávky."
